date,season,event_name,solar_index,distance_to_center,phase,progress,declination_deg,fixed_season,fixed_index,fixed_distance,fixed_phase,fixed_progress,deviation,abs_deviation,drift_trend
2013-01-01 00:00:00+00:00,winter,december_solstice_prev,56,10,decline,0.6179775280898876,-22.977703500148856,winter,57.0,11.0,decline,0.6292134831460674,-1.0,1.0,-1.0
2013-01-02 00:00:00+00:00,winter,december_solstice_prev,57,11,decline,0.6292134831460674,-22.889483330516416,winter,58.0,12.0,decline,0.6404494382022472,-1.0,1.0,-1.0
2013-01-03 00:00:00+00:00,winter,december_solstice_prev,58,12,decline,0.6404494382022472,-22.793659157938073,winter,59.0,13.0,decline,0.651685393258427,-1.0,1.0,-1.0
2013-01-04 00:00:00+00:00,winter,december_solstice_prev,59,13,decline,0.651685393258427,-22.690276014371573,winter,60.0,14.0,decline,0.6629213483146067,-1.0,1.0,-1.0
2013-01-05 00:00:00+00:00,winter,december_solstice_prev,60,14,decline,0.6629213483146067,-22.579383115989472,winter,61.0,15.0,decline,0.6741573033707865,-1.0,1.0,-1.0
2013-01-06 00:00:00+00:00,winter,december_solstice_prev,61,15,decline,0.6741573033707865,-22.46103398643547,winter,62.0,16.0,decline,0.6853932584269663,-1.0,1.0,-1.0
2013-01-07 00:00:00+00:00,winter,december_solstice_prev,62,16,decline,0.6853932584269663,-22.335286583507152,winter,63.0,17.0,decline,0.6966292134831461,-1.0,1.0,-1.0
2013-01-08 00:00:00+00:00,winter,december_solstice_prev,63,17,decline,0.6966292134831461,-22.202203393367228,winter,64.0,18.0,decline,0.7078651685393258,-1.0,1.0,-1.0
2013-01-09 00:00:00+00:00,winter,december_solstice_prev,64,18,decline,0.7078651685393258,-22.061851434415885,winter,65.0,19.0,decline,0.7191011235955056,-1.0,1.0,-1.0
2013-01-10 00:00:00+00:00,winter,december_solstice_prev,65,19,decline,0.7191011235955056,-21.91430210518545,winter,66.0,20.0,decline,0.7303370786516854,-1.0,1.0,-1.0
2013-01-11 00:00:00+00:00,winter,december_solstice_prev,66,20,decline,0.7303370786516854,-21.75963083571719,winter,67.0,21.0,decline,0.7415730337078652,-1.0,1.0,-1.0
2013-01-12 00:00:00+00:00,winter,december_solstice_prev,67,21,decline,0.7415730337078652,-21.597916563696486,winter,68.0,22.0,decline,0.7528089887640449,-1.0,1.0,-1.0
2013-01-13 00:00:00+00:00,winter,december_solstice_prev,68,22,decline,0.7528089887640449,-21.42924112782591,winter,69.0,23.0,decline,0.7640449438202247,-1.0,1.0,-1.0
2013-01-14 00:00:00+00:00,winter,december_solstice_prev,69,23,decline,0.7640449438202247,-21.25368870501024,winter,70.0,24.0,decline,0.7752808988764045,-1.0,1.0,-1.0
2013-01-15 00:00:00+00:00,winter,december_solstice_prev,70,24,decline,0.7752808988764045,-21.071345389947947,winter,71.0,25.0,decline,0.7865168539325843,-1.0,1.0,-1.0
2013-01-16 00:00:00+00:00,winter,december_solstice_prev,71,25,decline,0.7865168539325843,-20.88229894736924,winter,72.0,26.0,decline,0.797752808988764,-1.0,1.0,-1.0
2013-01-17 00:00:00+00:00,winter,december_solstice_prev,72,26,decline,0.797752808988764,-20.68663870423739,winter,73.0,27.0,decline,0.8089887640449438,-1.0,1.0,-1.0
2013-01-18 00:00:00+00:00,winter,december_solstice_prev,73,27,decline,0.8089887640449438,-20.484455520781278,winter,74.0,28.0,decline,0.8202247191011236,-1.0,1.0,-1.0
2013-01-19 00:00:00+00:00,winter,december_solstice_prev,74,28,decline,0.8202247191011236,-20.275841783627552,winter,75.0,29.0,decline,0.8314606741573034,-1.0,1.0,-1.0
2013-01-20 00:00:00+00:00,winter,december_solstice_prev,75,29,decline,0.8314606741573034,-20.06089138435128,winter,76.0,30.0,decline,0.8426966292134831,-1.0,1.0,-1.0
2013-01-21 00:00:00+00:00,winter,december_solstice_prev,76,30,decline,0.8426966292134831,-19.839699667602254,winter,77.0,31.0,decline,0.8539325842696629,-1.0,1.0,-1.0
2013-01-22 00:00:00+00:00,winter,december_solstice_prev,77,31,decline,0.8539325842696629,-19.61236334821152,winter,78.0,32.0,decline,0.8651685393258427,-1.0,1.0,-1.0
2013-01-23 00:00:00+00:00,winter,december_solstice_prev,78,32,decline,0.8651685393258427,-19.378980406036842,winter,79.0,33.0,decline,0.8764044943820225,-1.0,1.0,-1.0
2013-01-24 00:00:00+00:00,winter,december_solstice_prev,79,33,decline,0.8764044943820225,-19.139649972553528,winter,80.0,34.0,decline,0.8876404494382022,-1.0,1.0,-1.0
2013-01-25 00:00:00+00:00,winter,december_solstice_prev,80,34,decline,0.8876404494382022,-18.89447222580616,winter,81.0,35.0,decline,0.898876404494382,-1.0,1.0,-1.0
2013-01-26 00:00:00+00:00,winter,december_solstice_prev,81,35,decline,0.898876404494382,-18.643548310732985,winter,82.0,36.0,decline,0.9101123595505618,-1.0,1.0,-1.0
2013-01-27 00:00:00+00:00,winter,december_solstice_prev,82,36,decline,0.9101123595505618,-18.386980299719383,winter,83.0,37.0,decline,0.9213483146067416,-1.0,1.0,-1.0
2013-01-28 00:00:00+00:00,winter,december_solstice_prev,83,37,decline,0.9213483146067416,-18.124871203199156,winter,84.0,38.0,decline,0.9325842696629213,-1.0,1.0,-1.0
2013-01-29 00:00:00+00:00,winter,december_solstice_prev,84,38,decline,0.9325842696629213,-17.857325032731918,winter,85.0,39.0,decline,0.9438202247191011,-1.0,1.0,-0.9333333333333333
2013-01-30 00:00:00+00:00,winter,december_solstice_prev,85,39,decline,0.9438202247191011,-17.58444691102125,winter,86.0,40.0,decline,0.9550561797752809,-1.0,1.0,-0.8666666666666667
2013-01-31 00:00:00+00:00,winter,december_solstice_prev,86,40,decline,0.9550561797752809,-17.306343217300064,winter,87.0,41.0,decline,0.9662921348314607,-1.0,1.0,-0.8
2013-02-01 00:00:00+00:00,winter,december_solstice_prev,87,41,decline,0.9662921348314607,-17.023121754187063,winter,88.0,42.0,decline,0.9775280898876404,-1.0,1.0,-0.7333333333333333
2013-02-02 00:00:00+00:00,winter,december_solstice_prev,88,42,decline,0.9775280898876404,-16.73489192310408,winter,89.0,43.0,decline,0.9887640449438202,-1.0,1.0,-0.6666666666666666
